epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8488,1.06628,0.40254,0.50382,1.00588,1.43994,0.39728,0.49206,0.39316,0.17651,0.55603,0.70238,0.62505,0.46202,1.8558,0.95342,0.30304,3.23233,2.64223,0.000661247,0.000661247,0.000661247
2,75.5959,1.39301,0.4794,0.49239,1.42647,1.68327,0.32953,0.42063,0.32554,0.12195,0.5082,0.62302,0.60872,0.38633,2.07436,1.30993,0.29023,3.77552,2.90511,0.00131477,0.00131477,0.00131477
3,110.407,1.3992,0.49631,0.50592,1.48803,1.70033,0.47777,0.56349,0.47264,0.20291,0.60296,0.69906,0.66964,0.511,1.88504,0.68745,0.42391,2.84641,2.47419,0.00195509,0.00195509,0.00195509
4,145.956,1.35465,0.4956,0.48652,1.41186,1.65364,0.36952,0.44841,0.31173,0.14783,0.56189,0.73289,0.61964,0.47858,1.75257,0.65578,0.28753,3.405,2.09294,0.0019406,0.0019406,0.0019406
5,180.778,1.29295,0.44287,0.45932,1.36834,1.61635,0.57109,0.61111,0.61723,0.35002,0.6699,0.72222,0.75187,0.63326,1.47773,0.57719,0.26506,1.80002,1.93064,0.0019208,0.0019208,0.0019208
6,216.124,1.19842,0.41548,0.44952,1.24562,1.54528,0.8193,0.8373,0.89446,0.61657,0.88033,0.86508,0.93658,0.81528,1.06245,0.5398,0.28038,0.9247,1.53046,0.001901,0.001901,0.001901
7,251.53,1.16891,0.4008,0.43741,1.20035,1.52442,0.92781,0.80159,0.9218,0.6235,0.85523,0.8674,0.94094,0.83922,1.0488,0.46817,0.27637,0.88452,1.50641,0.0018812,0.0018812,0.0018812
8,287.631,1.12366,0.39454,0.42975,1.15106,1.49468,0.83741,0.7971,0.89376,0.60594,0.85445,0.84127,0.92368,0.82646,1.05238,0.43022,0.26384,1.01117,1.46368,0.0018614,0.0018614,0.0018614
9,323.056,1.0557,0.36348,0.4239,1.05156,1.42681,0.78333,0.81349,0.86351,0.56039,0.80186,0.92063,0.91807,0.80895,1.1783,0.44864,0.38452,0.95141,1.65611,0.0018416,0.0018416,0.0018416
10,358.763,1.07725,0.35269,0.41254,1.06182,1.45502,0.8911,0.84427,0.93173,0.67499,0.89969,0.85419,0.93994,0.85376,0.96,0.40792,0.24467,0.74707,1.42374,0.0018218,0.0018218,0.0018218
11,394.47,1.05107,0.34888,0.40229,1.02812,1.43237,0.88185,0.91817,0.96106,0.70817,0.88942,0.9256,0.95953,0.87645,0.89719,0.36869,0.28384,0.68037,1.33976,0.001802,0.001802,0.001802
12,430.328,1.01503,0.32908,0.40163,0.97788,1.39863,0.902,0.87656,0.94764,0.71874,0.91187,0.9127,0.95298,0.8807,0.8296,0.33334,0.24023,0.69753,1.28056,0.0017822,0.0017822,0.0017822
13,465.989,1.00028,0.31521,0.38519,0.97127,1.39286,0.89004,0.93144,0.95425,0.73116,0.89202,0.90873,0.95205,0.88928,0.85421,0.33106,0.27259,0.67291,1.31533,0.0017624,0.0017624,0.0017624
14,501.414,0.98341,0.31513,0.39508,0.94273,1.37871,0.94931,0.9127,0.97342,0.74231,0.94222,0.90588,0.96217,0.8954,0.83474,0.32403,0.23341,0.5901,1.28289,0.0017426,0.0017426,0.0017426
15,536.919,0.94564,0.30478,0.39721,0.92506,1.35411,0.90751,0.90476,0.95988,0.70956,0.92612,0.89545,0.96126,0.88847,0.86891,0.33742,0.26673,0.6488,1.28067,0.0017228,0.0017228,0.0017228
16,571.56,0.96158,0.28266,0.38133,0.89837,1.36311,0.90469,0.89683,0.95705,0.7138,0.92582,0.91667,0.95618,0.88167,0.81478,0.32932,0.22195,0.62591,1.28046,0.001703,0.001703,0.001703
17,606.167,0.93321,0.28635,0.37354,0.87267,1.35009,0.91067,0.90476,0.96315,0.7485,0.91954,0.90873,0.96482,0.8965,0.78632,0.3217,0.23041,0.60455,1.24643,0.0016832,0.0016832,0.0016832
18,641.968,0.91524,0.27577,0.36336,0.86865,1.33955,0.9352,0.91639,0.96584,0.71916,0.93775,0.9246,0.96636,0.90364,0.85459,0.30894,0.22711,0.69539,1.28985,0.0016634,0.0016634,0.0016634
19,676.64,0.90777,0.27343,0.37197,0.84997,1.32623,0.92895,0.9127,0.96751,0.75261,0.89819,0.91028,0.95051,0.89136,0.76674,0.30973,0.21649,0.56184,1.20632,0.0016436,0.0016436,0.0016436
20,711.415,0.89503,0.25031,0.35468,0.83957,1.3208,0.89466,0.92063,0.95768,0.74466,0.89466,0.92063,0.96109,0.88843,0.79947,0.33834,0.23208,0.62008,1.26352,0.0016238,0.0016238,0.0016238
21,746.571,0.87367,0.27578,0.35665,0.79587,1.30039,0.94368,0.93254,0.97897,0.77507,0.94782,0.90476,0.96154,0.88828,0.74737,0.33478,0.23428,0.51676,1.20706,0.001604,0.001604,0.001604
22,782.181,0.86283,0.24492,0.35859,0.79767,1.30038,0.94455,0.94632,0.98267,0.77101,0.93267,0.93453,0.9694,0.91939,0.75369,0.26805,0.23284,0.49114,1.2217,0.0015842,0.0015842,0.0015842
23,820.86,0.8545,0.25283,0.35844,0.78758,1.28465,0.96019,0.95704,0.98481,0.76065,0.94387,0.93413,0.97035,0.91814,0.76149,0.29427,0.21117,0.57488,1.23425,0.0015644,0.0015644,0.0015644
