epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5672,3.86351,5.92724,4.19168,3.81845,0.05891,0.05584,0.02314,0.00611,0.07093,0.07614,0.02598,0.00859,3.63001,4.28644,3.47889,3.2432,0.000551962,0.000551962,0.000551962
2,136.509,3.04022,3.96401,3.7359,2.98755,0.28935,0.15152,0.07266,0.02537,0.61712,0.08883,0.08079,0.03749,2.73632,4.34414,3.26091,2.67515,0.00109666,0.00109666,0.00109666
3,203.784,2.70652,3.56626,3.35364,2.6247,0.30809,0.30204,0.17267,0.06387,0.2949,0.27453,0.1779,0.08014,2.2685,3.20234,2.95743,2.27781,0.00163036,0.00163036,0.00163036
4,272.739,2.54604,3.38004,3.14847,2.45482,0.32493,0.27681,0.2332,0.09728,0.34067,0.28342,0.2402,0.11205,2.20135,3.10138,2.72658,2.16983,0.00161749,0.00161749,0.00161749
5,340.214,2.34794,3.20633,2.93601,2.28728,0.34994,0.25921,0.22362,0.10569,0.35712,0.26699,0.23394,0.1049,2.10734,3.0666,2.69022,2.08526,0.00160099,0.00160099,0.00160099
6,407.816,2.24775,3.03166,2.78414,2.17594,0.42694,0.34763,0.31349,0.16828,0.42075,0.39787,0.32603,0.17765,1.84408,2.57335,2.27168,1.87348,0.00158448,0.00158448,0.00158448
7,476.554,2.15223,2.9108,2.62716,2.06959,0.42584,0.36557,0.32789,0.1572,0.41999,0.37628,0.32798,0.17447,1.98896,2.53239,2.19418,1.97008,0.00156798,0.00156798,0.00156798
8,543.358,2.05386,2.82948,2.52691,2.01708,0.4781,0.3849,0.40044,0.2209,0.49191,0.40114,0.4137,0.24034,1.71006,2.29899,2.00943,1.74527,0.00155148,0.00155148,0.00155148
9,609.972,1.99021,2.74148,2.42786,1.94701,0.46136,0.30622,0.33832,0.19613,0.48522,0.31638,0.34946,0.21036,1.76639,2.57354,2.29407,1.81711,0.00153497,0.00153497,0.00153497
10,676.703,1.94105,2.63264,2.34885,1.88731,0.52791,0.39836,0.4403,0.25305,0.52771,0.40493,0.43971,0.26892,1.59232,2.21968,1.96825,1.6717,0.00151847,0.00151847,0.00151847
11,743.66,1.91425,2.61607,2.29137,1.8881,0.6109,0.42596,0.47868,0.26887,0.62545,0.43535,0.48951,0.2856,1.65022,2.21075,1.94029,1.70977,0.00150197,0.00150197,0.00150197
12,810.306,1.84709,2.52618,2.21814,1.83782,0.5207,0.45941,0.43111,0.25599,0.52774,0.46626,0.4436,0.27709,1.58883,2.20704,1.91227,1.62889,0.00148546,0.00148546,0.00148546
13,877.407,1.81315,2.44087,2.15155,1.77349,0.56756,0.48535,0.50626,0.29959,0.58535,0.49028,0.51215,0.32545,1.55427,2.23205,1.77518,1.6157,0.00146896,0.00146896,0.00146896
14,944.185,1.77723,2.45052,2.07249,1.76026,0.65764,0.45632,0.52911,0.31588,0.66966,0.46463,0.53421,0.32759,1.54916,2.20679,1.8342,1.60055,0.00145246,0.00145246,0.00145246
15,1010.71,1.75163,2.36198,2.03053,1.74352,0.68232,0.4552,0.50679,0.32529,0.6688,0.4737,0.5174,0.33152,1.41197,2.04031,1.71248,1.52373,0.00143595,0.00143595,0.00143595
16,1077.29,1.7095,2.30934,1.97777,1.69981,0.61572,0.48837,0.54888,0.34169,0.60991,0.50469,0.56272,0.3508,1.44707,2.09237,1.66983,1.54762,0.00141945,0.00141945,0.00141945
17,1144.05,1.70817,2.31645,1.96311,1.70127,0.5913,0.47363,0.54498,0.34874,0.59735,0.47871,0.55482,0.35472,1.39917,2.03184,1.62603,1.48129,0.00140295,0.00140295,0.00140295
18,1210.61,1.6718,2.26632,1.89239,1.67004,0.76723,0.41122,0.55368,0.35556,0.73742,0.42669,0.5633,0.36543,1.38592,1.97136,1.60535,1.502,0.00138644,0.00138644,0.00138644
19,1277.15,1.63133,2.18551,1.84021,1.63896,0.71188,0.49571,0.61423,0.37659,0.70144,0.54122,0.6264,0.39128,1.46271,1.948,1.52847,1.55169,0.00136994,0.00136994,0.00136994
20,1343.85,1.6358,2.22135,1.86029,1.63367,0.66348,0.56713,0.61485,0.39004,0.66791,0.57661,0.63097,0.4066,1.3756,1.91753,1.45983,1.47097,0.00135344,0.00135344,0.00135344
21,1410.34,1.5964,2.16201,1.80914,1.61835,0.65017,0.46428,0.52991,0.3341,0.66047,0.47443,0.53992,0.32869,1.39384,2.11157,1.726,1.4954,0.00133693,0.00133693,0.00133693
22,1477.02,1.59484,2.16967,1.80359,1.60851,0.80319,0.45659,0.58649,0.37451,0.8119,0.46432,0.59839,0.3758,1.37663,1.98839,1.54753,1.49298,0.00132043,0.00132043,0.00132043
23,1543.74,1.56964,2.13239,1.75948,1.59689,0.65388,0.46476,0.58342,0.35925,0.6679,0.47415,0.59784,0.37069,1.41739,2.02946,1.54492,1.52087,0.00130393,0.00130393,0.00130393
24,1610.34,1.5459,2.09384,1.72511,1.57634,0.72629,0.55998,0.65031,0.40973,0.72951,0.5622,0.65299,0.42125,1.35592,1.88067,1.41124,1.45772,0.00128742,0.00128742,0.00128742
25,1676.88,1.54244,2.03355,1.6933,1.57736,0.73246,0.56015,0.6373,0.422,0.73279,0.56115,0.64067,0.42095,1.30173,1.77349,1.42717,1.44884,0.00127092,0.00127092,0.00127092
26,1743.85,1.53266,2.05707,1.67901,1.55329,0.67443,0.56005,0.64638,0.44388,0.66702,0.56412,0.65375,0.4479,1.24396,1.91076,1.42953,1.42106,0.00125442,0.00125442,0.00125442
27,1810.25,1.48849,2.00131,1.60857,1.52638,0.73861,0.49842,0.61509,0.39981,0.74348,0.50068,0.62013,0.38392,1.34977,1.88677,1.50087,1.4547,0.00123791,0.00123791,0.00123791
