epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2644,3.58891,5.40561,4.53067,3.90743,0.04899,0.06571,0.02346,0.00983,0.0638,0.08702,0.02707,0.01141,3.09552,4.70374,14.8071,3.14924,0.000551962,0.000551962,0.000551962
2,103.77,2.91492,4.04025,3.85883,3.16055,0.09707,0.1247,0.03119,0.01214,0.1024,0.12381,0.03159,0.01333,2.59472,3.97153,3.80549,2.57686,0.00109666,0.00109666,0.00109666
3,150.472,2.62259,3.76025,3.54858,2.85721,0.16789,0.10973,0.07916,0.03597,0.16526,0.11922,0.08579,0.03961,2.26587,3.6388,3.42994,2.31742,0.00163036,0.00163036,0.00163036
4,197.349,2.47135,3.56104,3.29999,2.60709,0.34368,0.25441,0.2293,0.10036,0.29535,0.30604,0.23058,0.1089,2.00884,3.07998,2.59791,2.03457,0.00161749,0.00161749,0.00161749
5,244.686,2.32444,3.38768,3.15074,2.41688,0.39373,0.27533,0.20875,0.0944,0.41061,0.29702,0.22273,0.11203,1.93397,2.94139,2.6013,1.95555,0.00160099,0.00160099,0.00160099
6,291.71,2.21015,3.28043,3.03034,2.3366,0.36652,0.33728,0.25698,0.1219,0.3649,0.35174,0.26076,0.1358,1.96598,2.78105,2.51675,1.93788,0.00158448,0.00158448,0.00158448
7,339.025,2.10574,3.18778,2.90851,2.19684,0.49882,0.36822,0.31799,0.17607,0.51337,0.37507,0.32643,0.19337,1.75656,2.66481,2.27665,1.78363,0.00156798,0.00156798,0.00156798
8,387.373,2.02546,3.00803,2.75386,2.13413,0.52472,0.33442,0.34957,0.20129,0.53255,0.3395,0.35447,0.19994,1.64443,2.75139,2.23007,1.69677,0.00155148,0.00155148,0.00155148
9,435.342,1.95551,2.87581,2.61066,2.0444,0.60395,0.32291,0.37634,0.22414,0.61595,0.32403,0.38446,0.23438,1.62264,2.40004,2.19085,1.64759,0.00153497,0.00153497,0.00153497
10,482.325,1.89664,2.818,2.52621,2.00231,0.53479,0.27786,0.34614,0.2093,0.5321,0.27786,0.34758,0.22049,1.57109,2.40248,2.35672,1.63123,0.00151847,0.00151847,0.00151847
11,529.408,1.86003,2.76394,2.48145,1.97168,0.50993,0.38977,0.41134,0.2411,0.52371,0.40577,0.42201,0.23421,1.56282,2.37384,2.05456,1.60155,0.00150197,0.00150197,0.00150197
12,577.532,1.79533,2.70068,2.40755,1.90996,0.50771,0.41002,0.40003,0.24907,0.50447,0.41738,0.40712,0.25411,1.44156,2.32752,2.24616,1.53885,0.00148546,0.00148546,0.00148546
13,624.979,1.79158,2.64351,2.3848,1.90323,0.55951,0.40159,0.44396,0.2678,0.58931,0.3994,0.4535,0.26667,1.49132,2.1999,1.90861,1.58619,0.00146896,0.00146896,0.00146896
14,672.561,1.73635,2.64489,2.34263,1.87623,0.55137,0.47178,0.47706,0.31456,0.56175,0.47572,0.48158,0.30913,1.3577,2.16719,1.87098,1.50032,0.00145246,0.00145246,0.00145246
15,720.08,1.67933,2.565,2.21312,1.80268,0.59787,0.40517,0.44101,0.29107,0.59746,0.40848,0.45131,0.29251,1.37614,2.18643,2.02349,1.50177,0.00143595,0.00143595,0.00143595
16,766.491,1.66031,2.4862,2.14651,1.7876,0.63908,0.45997,0.51186,0.31716,0.65302,0.46935,0.52016,0.31308,1.42509,2.23517,1.8349,1.51507,0.00141945,0.00141945,0.00141945
17,813.305,1.62657,2.45053,2.16592,1.76087,0.62157,0.42618,0.49488,0.31302,0.62498,0.43507,0.50301,0.31943,1.36761,2.01728,1.90093,1.47083,0.00140295,0.00140295,0.00140295
18,860.101,1.60772,2.38935,2.05896,1.74541,0.66418,0.38989,0.47069,0.30588,0.58432,0.43277,0.48046,0.29775,1.37463,2.08453,1.85815,1.47919,0.00138644,0.00138644,0.00138644
19,907.336,1.57126,2.38385,2.03432,1.7361,0.68446,0.49704,0.55507,0.36952,0.69071,0.50466,0.5627,0.36121,1.3162,1.96809,1.59518,1.4527,0.00136994,0.00136994,0.00136994
20,954.221,1.51759,2.32418,1.98493,1.66637,0.57734,0.4802,0.52441,0.33299,0.57908,0.48352,0.53345,0.33399,1.36764,2.0026,1.66547,1.46788,0.00135344,0.00135344,0.00135344
21,1001.08,1.52016,2.29767,1.95689,1.67533,0.67473,0.49553,0.56119,0.35203,0.69264,0.50691,0.56842,0.34946,1.33722,2.08499,1.6648,1.45674,0.00133693,0.00133693,0.00133693
22,1047.38,1.4766,2.25842,1.89519,1.63599,0.70411,0.55453,0.6029,0.40536,0.71713,0.56186,0.61309,0.39575,1.25331,1.9521,1.50602,1.42226,0.00132043,0.00132043,0.00132043
23,1094.69,1.46317,2.19506,1.84583,1.5978,0.63366,0.50735,0.56737,0.36964,0.63697,0.5142,0.57737,0.36731,1.32997,1.98688,1.58368,1.46054,0.00130393,0.00130393,0.00130393
24,1141.56,1.42625,2.19347,1.85062,1.6043,0.72562,0.51288,0.59421,0.39882,0.72938,0.51186,0.59611,0.3898,1.2253,1.91522,1.66823,1.38815,0.00128742,0.00128742,0.00128742
25,1188.34,1.36901,2.09241,1.75376,1.525,0.68146,0.46411,0.55893,0.37201,0.69461,0.47249,0.56786,0.37077,1.26585,1.80323,1.68825,1.38959,0.00127092,0.00127092,0.00127092
26,1235.52,1.36841,2.08134,1.71374,1.53614,0.63706,0.52992,0.60599,0.40467,0.65264,0.54578,0.61658,0.38766,1.26305,1.90675,1.46338,1.38391,0.00125442,0.00125442,0.00125442
27,1281.65,1.35218,2.10112,1.7239,1.52094,0.636,0.50552,0.59669,0.39926,0.63716,0.50629,0.60189,0.3733,1.257,1.89949,1.47511,1.38929,0.00123791,0.00123791,0.00123791
28,1328.13,1.34073,2.09136,1.68756,1.49386,0.72623,0.58586,0.65228,0.44523,0.72952,0.58896,0.65997,0.444,1.21771,1.97199,1.39705,1.35546,0.00122141,0.00122141,0.00122141
29,1374.94,1.30885,2.02292,1.6331,1.47893,0.74424,0.5134,0.63046,0.43276,0.75717,0.52895,0.64033,0.43278,1.20451,1.84557,1.47912,1.35453,0.00120491,0.00120491,0.00120491
30,1422.07,1.28006,2.05083,1.61028,1.45066,0.72962,0.50652,0.6362,0.43719,0.73156,0.50905,0.64859,0.43382,1.24551,1.87133,1.43813,1.35081,0.0011884,0.0011884,0.0011884
31,1468.47,1.27946,2.03811,1.57452,1.45446,0.63411,0.61267,0.63916,0.43877,0.64301,0.62536,0.64871,0.43196,1.2322,1.88487,1.32815,1.36332,0.0011719,0.0011719,0.0011719
32,1514.94,1.27901,1.99597,1.60145,1.44867,0.69525,0.58607,0.65711,0.45895,0.70195,0.59115,0.66356,0.44774,1.15501,1.80718,1.39228,1.3264,0.0011554,0.0011554,0.0011554
33,1562.56,1.24581,1.94466,1.54603,1.41492,0.69836,0.62271,0.6672,0.47349,0.71073,0.6354,0.6764,0.47299,1.10222,1.69969,1.32195,1.29288,0.00113889,0.00113889,0.00113889
34,1610.34,1.2331,1.90967,1.4765,1.41089,0.66266,0.56232,0.63275,0.43052,0.67074,0.56816,0.6429,0.42032,1.20378,1.76146,1.40334,1.3513,0.00112239,0.00112239,0.00112239
35,1656.59,1.2305,1.97528,1.53691,1.3938,0.73161,0.55978,0.65856,0.45405,0.74366,0.56739,0.67263,0.45308,1.15002,1.84136,1.37965,1.31486,0.00110589,0.00110589,0.00110589
36,1704.09,1.19505,1.90754,1.46927,1.37145,0.74293,0.6256,0.6909,0.48005,0.74709,0.63491,0.69928,0.47035,1.1477,1.72947,1.20431,1.32564,0.00108938,0.00108938,0.00108938
37,1751.42,1.16874,1.83614,1.4101,1.34662,0.76158,0.53419,0.66336,0.46235,0.76158,0.53419,0.6717,0.44252,1.17471,1.72798,1.30498,1.32685,0.00107288,0.00107288,0.00107288
