epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5314,3.97088,5.57202,4.25223,3.8807,0.0019,0.25391,0.01522,0.00412,0.00275,0.36551,0.02354,0.00897,4.04147,4.21748,3.55808,3.56265,0.000551962,0.000551962,0.000551962
2,66.4988,3.22241,4.08408,3.84423,3.10516,0.07302,0.07461,0.02603,0.00837,0.08498,0.08553,0.03555,0.01388,2.96702,3.72811,4.09846,2.75417,0.00109666,0.00109666,0.00109666
3,91.8157,2.89159,3.82132,3.64276,2.77235,0.15863,0.2205,0.0871,0.0328,0.1671,0.21527,0.09097,0.04033,2.40957,3.38958,3.05274,2.30472,0.00163036,0.00163036,0.00163036
4,116.866,2.66184,3.62986,3.39743,2.53215,0.29977,0.18784,0.14748,0.06438,0.29847,0.20036,0.1549,0.07048,2.23561,3.08888,3.05999,2.17464,0.00161749,0.00161749,0.00161749
5,143.203,2.48441,3.45725,3.19534,2.36096,0.37387,0.25783,0.21507,0.08566,0.39003,0.25772,0.23184,0.09939,2.12265,2.96295,2.82376,2.07806,0.00160099,0.00160099,0.00160099
6,167.286,2.36693,3.30653,3.086,2.27242,0.44419,0.30599,0.2861,0.14899,0.45214,0.33804,0.30146,0.16503,1.98436,2.82589,2.35679,1.95881,0.00158448,0.00158448,0.00158448
7,191.469,2.24135,3.23082,2.94278,2.15587,0.59193,0.31096,0.31308,0.16971,0.58498,0.32035,0.32182,0.1776,1.79233,2.75901,2.59325,1.82879,0.00156798,0.00156798,0.00156798
8,215.32,2.18486,3.07967,2.82899,2.10137,0.40861,0.32422,0.33908,0.18777,0.41364,0.32947,0.34921,0.2042,1.82939,2.65675,2.29416,1.86225,0.00155148,0.00155148,0.00155148
9,239.059,2.10643,2.9826,2.73204,2.03589,0.40725,0.2829,0.28607,0.1662,0.42665,0.30609,0.29681,0.16934,1.73294,2.60551,2.55625,1.76763,0.00153497,0.00153497,0.00153497
10,263.302,2.05816,2.94578,2.64869,1.97806,0.57511,0.33772,0.3457,0.18952,0.58094,0.34086,0.34871,0.197,1.69516,2.61926,2.18466,1.73418,0.00151847,0.00151847,0.00151847
11,287.84,1.9965,2.88584,2.57479,1.93628,0.50005,0.34079,0.37988,0.20844,0.53405,0.32733,0.38458,0.21098,1.73338,2.4999,2.36109,1.71658,0.00150197,0.00150197,0.00150197
12,312.257,1.94658,2.79131,2.49662,1.88972,0.55725,0.36943,0.37736,0.21401,0.54702,0.36943,0.38054,0.22329,1.69114,2.51502,2.19593,1.70803,0.00148546,0.00148546,0.00148546
13,337.39,1.93821,2.77958,2.464,1.8564,0.53738,0.3573,0.40885,0.24098,0.49958,0.3841,0.41922,0.26254,1.57598,2.33005,2.02307,1.62785,0.00146896,0.00146896,0.00146896
14,362.409,1.88737,2.74847,2.40735,1.83897,0.53736,0.42426,0.44645,0.25919,0.54136,0.43087,0.44751,0.27306,1.53997,2.27081,2.03942,1.58699,0.00145246,0.00145246,0.00145246
15,387.326,1.84305,2.67681,2.31908,1.77812,0.49733,0.375,0.38243,0.22184,0.49509,0.37322,0.38851,0.22795,1.55586,2.31059,2.1057,1.61243,0.00143595,0.00143595,0.00143595
16,412.362,1.81861,2.61835,2.28726,1.77024,0.62783,0.41721,0.45025,0.27332,0.62498,0.4144,0.45245,0.27708,1.47268,2.29648,1.98923,1.57995,0.00141945,0.00141945,0.00141945
17,437.546,1.79904,2.60892,2.28805,1.75244,0.51807,0.43309,0.43023,0.26456,0.50114,0.43055,0.43767,0.28002,1.43013,2.22792,1.90136,1.53568,0.00140295,0.00140295,0.00140295
18,463.052,1.7751,2.54798,2.19952,1.72812,0.46092,0.40373,0.38386,0.21997,0.47314,0.41611,0.39285,0.2225,1.55226,2.35723,2.08036,1.59826,0.00138644,0.00138644,0.00138644
19,488.313,1.75421,2.52148,2.18963,1.71919,0.68055,0.41935,0.49464,0.29808,0.67671,0.42844,0.49732,0.29205,1.44266,2.20173,1.81284,1.53192,0.00136994,0.00136994,0.00136994
20,513.502,1.73143,2.52839,2.16547,1.69121,0.61293,0.42523,0.4639,0.29453,0.61293,0.42523,0.47207,0.29119,1.46253,2.14768,1.82301,1.53527,0.00135344,0.00135344,0.00135344
21,538.848,1.74745,2.49331,2.14268,1.70297,0.65523,0.4105,0.48517,0.29665,0.60332,0.43597,0.48835,0.29893,1.42237,2.188,1.85322,1.51418,0.00133693,0.00133693,0.00133693
22,564.154,1.68528,2.44171,2.06045,1.65199,0.67094,0.46682,0.53946,0.34045,0.67437,0.4724,0.54778,0.35146,1.39005,2.06086,1.64798,1.50497,0.00132043,0.00132043,0.00132043
23,589.634,1.70646,2.40751,2.05812,1.65688,0.57726,0.50696,0.54695,0.34961,0.56818,0.52286,0.56003,0.34975,1.379,1.99912,1.6611,1.50985,0.00130393,0.00130393,0.00130393
24,614.651,1.67529,2.38981,2.06882,1.65874,0.53287,0.47721,0.4859,0.30189,0.54407,0.48406,0.49568,0.30639,1.43551,2.04535,1.76058,1.50732,0.00128742,0.00128742,0.00128742
25,639.618,1.61992,2.30738,1.98617,1.61034,0.64065,0.47765,0.54265,0.36076,0.63367,0.49049,0.55525,0.36431,1.3245,2.03353,1.75161,1.46227,0.00127092,0.00127092,0.00127092
26,664.528,1.64018,2.3103,1.95634,1.61188,0.70525,0.52644,0.56726,0.34905,0.67135,0.52739,0.56892,0.34809,1.41364,2.09636,1.6042,1.49618,0.00125442,0.00125442,0.00125442
27,689.67,1.62222,2.34647,1.96891,1.61606,0.60673,0.49215,0.53317,0.3284,0.5982,0.5086,0.53906,0.31088,1.38847,2.11978,1.72474,1.46975,0.00123791,0.00123791,0.00123791
