epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9121,3.53887,5.35087,4.27619,3.86723,0.06202,0.10583,0.03286,0.01204,0.07503,0.09753,0.03606,0.01346,3.20819,4.9862,4.30429,3.10253,0.000551962,0.000551962,0.000551962
2,96.0522,2.87672,4.10754,3.7615,3.13351,0.56982,0.10406,0.05717,0.02387,0.57587,0.11421,0.06083,0.02847,2.47749,3.55072,3.63843,2.50788,0.00109666,0.00109666,0.00109666
3,141.714,2.58206,3.86633,3.52274,2.83712,0.24818,0.10072,0.09324,0.03916,0.17616,0.12635,0.09413,0.04092,2.31292,3.68016,3.07728,2.29853,0.00163036,0.00163036,0.00163036
4,187.615,2.40998,3.64722,3.26795,2.57201,0.37868,0.25533,0.21769,0.09686,0.38042,0.26197,0.21834,0.1028,2.0623,3.13781,2.75854,2.05939,0.00161749,0.00161749,0.00161749
5,233.457,2.21613,3.50213,3.06998,2.35156,0.40229,0.31569,0.27639,0.14136,0.40146,0.33647,0.27579,0.1426,1.91445,3.00832,2.47921,1.93127,0.00160099,0.00160099,0.00160099
6,279.071,2.07551,3.32926,2.896,2.24446,0.48104,0.32667,0.29607,0.14754,0.48346,0.33175,0.29679,0.15832,1.81681,2.83419,3.67431,1.84036,0.00158448,0.00158448,0.00158448
7,324.576,1.95952,3.17162,2.75045,2.10591,0.4519,0.33394,0.29681,0.17524,0.46662,0.34663,0.30503,0.1885,1.66554,2.77666,2.46886,1.72789,0.00156798,0.00156798,0.00156798
8,370.522,1.88329,2.98213,2.59734,2.04333,0.59892,0.31061,0.33937,0.21671,0.59098,0.32761,0.35359,0.21657,1.58089,2.64261,2.58036,1.65517,0.00155148,0.00155148,0.00155148
9,416.558,1.81374,2.85137,2.49325,1.95879,0.43096,0.33728,0.29896,0.18645,0.44565,0.34312,0.30069,0.19068,1.55682,2.55549,2.28373,1.66268,0.00153497,0.00153497,0.00153497
10,461.976,1.75655,2.80216,2.37259,1.89944,0.5322,0.41157,0.42881,0.25467,0.53282,0.41525,0.43351,0.25459,1.50271,2.42456,1.94927,1.59953,0.00151847,0.00151847,0.00151847
