epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4756,3.54042,5.3887,4.55433,3.91517,0.00038,0.07409,0.00021,7e-05,0.00041,0.07586,0.00022,8e-05,3.29721,82.6758,inf,4.41627,0.000551962,0.000551962,0.000551962
2,113.108,2.84068,4.11319,3.86235,3.14142,0.1321,0.14234,0.04262,0.01613,0.12938,0.12965,0.04353,0.01873,2.61229,6.05717,4.0085,2.53914,0.00109666,0.00109666,0.00109666
3,165.966,2.56618,3.80969,3.56345,2.82404,0.0773,0.15078,0.04421,0.01549,0.15871,0.09171,0.04805,0.01844,2.34805,3.58767,3.34135,2.35004,0.00163036,0.00163036,0.00163036
4,218.364,2.39522,3.61452,3.29369,2.57131,0.32479,0.29521,0.19931,0.09142,0.32794,0.30282,0.20362,0.10197,2.14254,2.99161,3.60469,2.13106,0.00161749,0.00161749,0.00161749
5,270.687,2.23459,3.46636,3.14047,2.36576,0.42403,0.3725,0.28064,0.15009,0.43,0.3749,0.28791,0.15673,1.76354,2.78603,2.57638,1.84703,0.00160099,0.00160099,0.00160099
6,323.138,2.10549,3.30676,2.97347,2.27818,0.43581,0.29872,0.26818,0.13648,0.42176,0.30456,0.26574,0.14434,1.83742,2.75085,2.49413,1.85573,0.00158448,0.00158448,0.00158448
7,374.849,2.01968,3.21221,2.84192,2.13719,0.55505,0.33707,0.30889,0.17969,0.56728,0.32438,0.31264,0.18121,1.59504,2.76547,2.33281,1.69687,0.00156798,0.00156798,0.00156798
8,427.454,1.94953,3.02236,2.6939,2.08074,0.55063,0.41051,0.38817,0.23058,0.52994,0.41943,0.39621,0.23502,1.59318,2.52622,2.10732,1.67339,0.00155148,0.00155148,0.00155148
9,480.709,1.85542,2.88895,2.54687,1.98657,0.47909,0.36884,0.37213,0.23174,0.46205,0.36884,0.37041,0.22595,1.49371,2.6084,2.22887,1.58884,0.00153497,0.00153497,0.00153497
10,533.027,1.81829,2.85206,2.48476,1.94023,0.65267,0.36231,0.40059,0.23475,0.66219,0.36738,0.40961,0.25125,1.5533,2.54856,2.18074,1.5906,0.00151847,0.00151847,0.00151847
11,585.641,1.76392,2.76328,2.41846,1.88826,0.52934,0.35139,0.38561,0.22538,0.5179,0.37016,0.40413,0.21969,1.56092,2.4146,2.07531,1.61472,0.00150197,0.00150197,0.00150197
12,638.095,1.7195,2.68424,2.34298,1.8417,0.54971,0.38108,0.376,0.22542,0.54798,0.3855,0.38148,0.23786,1.52111,2.4767,2.31603,1.57582,0.00148546,0.00148546,0.00148546
13,689.883,1.71386,2.66386,2.32677,1.82632,0.6177,0.34482,0.39116,0.25439,0.62607,0.33543,0.3974,0.25423,1.41206,2.33634,1.96777,1.53312,0.00146896,0.00146896,0.00146896
14,742.117,1.63399,2.58551,2.23594,1.77882,0.65512,0.42423,0.48794,0.31943,0.65288,0.4293,0.49337,0.31433,1.32063,2.13875,1.81918,1.46258,0.00145246,0.00145246,0.00145246
