epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9912,3.9382,5.38782,4.14673,3.8361,0.05125,0.08376,0.0338,0.01062,0.07134,0.10931,0.03696,0.01484,3.1065,4.16171,3.34761,2.99184,0.000551962,0.000551962,0.000551962
2,80.8798,3.06623,4.0135,3.75022,3.0144,0.10526,0.08883,0.08022,0.03149,0.1203,0.10152,0.0896,0.04197,2.46111,3.48018,3.15399,2.46527,0.00109666,0.00109666,0.00109666
3,114.217,2.75876,3.68416,3.48997,2.70181,0.26788,0.21653,0.14859,0.06315,0.27505,0.2206,0.15352,0.07308,2.30375,3.1907,3.37984,2.30095,0.00163036,0.00163036,0.00163036
4,148.38,2.57658,3.53585,3.31146,2.49966,0.40603,0.23853,0.23695,0.09907,0.42224,0.24716,0.25244,0.11554,2.1767,2.87576,2.60179,2.10661,0.00161749,0.00161749,0.00161749
5,183.501,2.42633,3.34704,3.11204,2.3265,0.39839,0.24751,0.21289,0.10483,0.3669,0.24726,0.21309,0.10441,2.10144,3.30139,2.76008,2.05657,0.00160099,0.00160099,0.00160099
6,228.227,2.28538,3.21908,2.99206,2.22201,0.46789,0.31753,0.30753,0.14972,0.46283,0.32184,0.31707,0.16675,1.93663,2.56332,2.54117,1.92738,0.00158448,0.00158448,0.00158448
7,261.927,2.18573,3.09473,2.82734,2.10433,0.42396,0.25915,0.24676,0.13664,0.40792,0.27662,0.25064,0.14279,1.83466,2.75597,2.70222,1.84713,0.00156798,0.00156798,0.00156798
8,296.78,2.11322,2.92871,2.68902,2.03527,0.48408,0.37249,0.3785,0.20897,0.50737,0.37982,0.3853,0.2154,1.75393,2.68802,2.23451,1.79643,0.00155148,0.00155148,0.00155148
9,332.7,2.03704,2.83569,2.60174,1.96884,0.54286,0.33905,0.3445,0.19786,0.52822,0.33722,0.34678,0.21255,1.6603,2.41655,2.1568,1.69981,0.00153497,0.00153497,0.00153497
10,367.708,1.98075,2.79428,2.50203,1.90984,0.51172,0.27741,0.29971,0.17262,0.47191,0.30605,0.30631,0.17508,1.66181,2.54242,2.39838,1.69251,0.00151847,0.00151847,0.00151847
11,402.435,1.96073,2.73115,2.4683,1.88842,0.50799,0.40347,0.43334,0.25745,0.51177,0.40034,0.44366,0.26561,1.57185,2.33101,1.96156,1.61794,0.00150197,0.00150197,0.00150197
12,437.267,1.86388,2.64963,2.37546,1.81918,0.52978,0.3702,0.37165,0.22277,0.58383,0.36843,0.3805,0.22576,1.6079,2.45551,2.29252,1.6769,0.00148546,0.00148546,0.00148546
13,472.748,1.85644,2.60182,2.33434,1.80284,0.55298,0.42144,0.46422,0.28285,0.56208,0.42447,0.47176,0.29655,1.52177,2.09108,1.92705,1.60848,0.00146896,0.00146896,0.00146896
14,507.92,1.82445,2.58633,2.31144,1.7882,0.67031,0.40545,0.48094,0.30397,0.65838,0.42314,0.49572,0.30972,1.43505,2.21739,1.83935,1.54928,0.00145246,0.00145246,0.00145246
15,542.304,1.77153,2.53194,2.18993,1.72679,0.61119,0.38019,0.45201,0.29383,0.61119,0.38019,0.45739,0.291,1.41806,2.16347,1.95358,1.53994,0.00143595,0.00143595,0.00143595
16,576.598,1.74761,2.46327,2.14864,1.71475,0.56684,0.44505,0.47252,0.30273,0.57557,0.45521,0.48075,0.30747,1.42654,2.15321,1.80115,1.51756,0.00141945,0.00141945,0.00141945
17,612.072,1.71324,2.4215,2.15133,1.69533,0.62912,0.41901,0.49344,0.3199,0.6432,0.43097,0.50436,0.32976,1.423,2.14383,1.84098,1.51068,0.00140295,0.00140295,0.00140295
18,646.379,1.68587,2.37833,2.05207,1.65807,0.65401,0.44731,0.51686,0.31467,0.66313,0.45239,0.52421,0.32848,1.5091,1.97344,1.72508,1.56083,0.00138644,0.00138644,0.00138644
19,680.651,1.67096,2.34669,2.0174,1.65683,0.69174,0.4999,0.54341,0.34717,0.73498,0.50606,0.55651,0.35114,1.40241,1.98924,1.66428,1.5236,0.00136994,0.00136994,0.00136994
20,714.527,1.61113,2.30307,1.99808,1.60309,0.59747,0.44946,0.54351,0.34994,0.59661,0.44946,0.5495,0.34814,1.35589,2.00064,1.67901,1.46628,0.00135344,0.00135344,0.00135344
21,748.765,1.63109,2.28578,1.97632,1.62031,0.68199,0.43212,0.49162,0.31887,0.68708,0.44836,0.50197,0.32699,1.37605,2.16566,1.74527,1.48162,0.00133693,0.00133693,0.00133693
22,782.901,1.57785,2.24647,1.89726,1.5812,0.65205,0.49923,0.57521,0.3748,0.65809,0.51066,0.5864,0.38058,1.33576,1.92168,1.61046,1.47051,0.00132043,0.00132043,0.00132043
23,816.514,1.58878,2.23101,1.88636,1.57486,0.64514,0.47057,0.5625,0.36811,0.64303,0.5038,0.57623,0.37418,1.30545,1.99103,1.71551,1.46443,0.00130393,0.00130393,0.00130393
24,850.214,1.56449,2.19345,1.87845,1.58124,0.6736,0.52215,0.58669,0.36949,0.63939,0.56647,0.5947,0.37527,1.34847,1.85438,1.65754,1.47195,0.00128742,0.00128742,0.00128742
25,885.099,1.52106,2.12147,1.83564,1.53904,0.68695,0.53194,0.6202,0.41682,0.69337,0.53604,0.63063,0.42751,1.279,1.83216,1.55035,1.44191,0.00127092,0.00127092,0.00127092
26,922.72,1.52855,2.1,1.78447,1.53703,0.75464,0.49239,0.62109,0.41167,0.76553,0.5069,0.63035,0.40956,1.28781,1.89532,1.45837,1.44684,0.00125442,0.00125442,0.00125442
27,956.786,1.50744,2.12854,1.77657,1.53155,0.64612,0.53479,0.59654,0.39561,0.65639,0.5456,0.61169,0.38144,1.2943,1.95631,1.56464,1.4393,0.00123791,0.00123791,0.00123791
28,991.466,1.49036,2.0777,1.74949,1.51295,0.6794,0.57547,0.62905,0.41788,0.68273,0.57255,0.63397,0.41561,1.29334,1.85445,1.47561,1.42879,0.00122141,0.00122141,0.00122141
29,1025.87,1.46796,2.05016,1.70771,1.50236,0.62904,0.54797,0.58277,0.39262,0.64003,0.56043,0.59342,0.39053,1.31222,1.99704,1.71119,1.43872,0.00120491,0.00120491,0.00120491
30,1060.46,1.45437,2.04919,1.68424,1.47808,0.68491,0.61385,0.64822,0.44044,0.67721,0.63092,0.66291,0.43941,1.24585,1.82908,1.35932,1.39368,0.0011884,0.0011884,0.0011884
31,1095.53,1.46747,2.06843,1.68109,1.50744,0.68402,0.59921,0.64132,0.43687,0.72917,0.57943,0.64912,0.43841,1.24873,1.83785,1.35928,1.40269,0.0011719,0.0011719,0.0011719
32,1132.23,1.45301,1.98198,1.65918,1.48631,0.68457,0.56085,0.64629,0.44413,0.65847,0.60373,0.65741,0.44252,1.21901,1.83223,1.40975,1.39537,0.0011554,0.0011554,0.0011554
33,1168.15,1.43761,1.98592,1.6269,1.47917,0.73345,0.55869,0.64425,0.44877,0.73057,0.57527,0.65497,0.46816,1.19927,1.82202,1.37313,1.39833,0.00113889,0.00113889,0.00113889
34,1204.43,1.40284,1.93714,1.57074,1.45403,0.73788,0.5659,0.64823,0.42915,0.73803,0.56719,0.65548,0.43423,1.27442,1.74938,1.38152,1.41802,0.00112239,0.00112239,0.00112239
35,1240.23,1.42963,2.02614,1.63131,1.46923,0.70696,0.53645,0.65424,0.44664,0.61991,0.62344,0.66318,0.45158,1.21669,1.83253,1.37197,1.39362,0.00110589,0.00110589,0.00110589
36,1275.92,1.39348,1.94999,1.56852,1.44839,0.75337,0.59186,0.66871,0.45834,0.75872,0.59385,0.67925,0.45389,1.2264,1.73877,1.37447,1.39678,0.00108938,0.00108938,0.00108938
37,1309.96,1.38681,1.88124,1.53697,1.43605,0.71747,0.58568,0.66524,0.46285,0.72052,0.58822,0.67086,0.44675,1.17214,1.77875,1.28449,1.35155,0.00107288,0.00107288,0.00107288
38,1344.09,1.3429,1.89544,1.50085,1.41601,0.74549,0.60275,0.6708,0.47198,0.74802,0.60529,0.67783,0.4747,1.17302,1.73239,1.28013,1.36688,0.00105638,0.00105638,0.00105638
39,1378.2,1.36962,1.90149,1.51049,1.42284,0.64646,0.65289,0.68312,0.47244,0.66112,0.65289,0.69476,0.48152,1.18804,1.76072,1.28828,1.38889,0.00103987,0.00103987,0.00103987
40,1412.3,1.36019,1.87528,1.48201,1.41195,0.68319,0.63944,0.68556,0.4839,0.7368,0.6283,0.69164,0.47746,1.15352,1.76963,1.2824,1.35478,0.00102337,0.00102337,0.00102337
41,1446.54,1.34301,1.8401,1.45793,1.42573,0.76856,0.57887,0.67773,0.46877,0.76895,0.57963,0.68382,0.45645,1.21271,1.83978,1.30135,1.37467,0.00100687,0.00100687,0.00100687
42,1481.15,1.34835,1.85148,1.46571,1.40179,0.72831,0.59995,0.67178,0.47378,0.73742,0.5997,0.67972,0.46254,1.11445,1.75131,1.25399,1.3331,0.000990365,0.000990365,0.000990365
43,1516.54,1.33222,1.79523,1.41166,1.38565,0.80252,0.56723,0.69845,0.49121,0.80511,0.56737,0.7037,0.48414,1.12757,1.76384,1.22352,1.33006,0.000973861,0.000973861,0.000973861
44,1550.96,1.31864,1.80116,1.41575,1.39498,0.789,0.53435,0.6784,0.47252,0.79745,0.53923,0.68595,0.47377,1.18794,1.85352,1.4433,1.37613,0.000957358,0.000957358,0.000957358
45,1585.13,1.32023,1.82454,1.41226,1.37614,0.75042,0.5709,0.69674,0.49339,0.76806,0.56228,0.70598,0.48636,1.15189,1.75232,1.28041,1.34126,0.000940855,0.000940855,0.000940855
46,1619.17,1.28678,1.78907,1.36016,1.35872,0.7516,0.63616,0.71052,0.50897,0.75668,0.64048,0.71448,0.50079,1.10814,1.67824,1.19279,1.33017,0.000924352,0.000924352,0.000924352
47,1653.38,1.27661,1.78645,1.36856,1.35328,0.77282,0.62657,0.70283,0.50772,0.78393,0.62556,0.70754,0.48172,1.10717,1.68565,1.19895,1.32143,0.000907848,0.000907848,0.000907848
