epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1957,3.56719,5.42255,4.2759,3.88401,0.56074,0.04315,0.02761,0.00869,0.56789,0.04822,0.02968,0.01166,3.05042,4.00277,3.54167,3.02849,0.000551962,0.000551962,0.000551962
2,76.2639,2.91137,3.97459,3.75267,3.16401,0.15002,0.09961,0.05019,0.02096,0.1858,0.11254,0.06073,0.02791,2.45161,3.4814,3.39372,2.483,0.00109666,0.00109666,0.00109666
3,113.1,2.61968,3.6151,3.47115,2.83715,0.18502,0.21535,0.12548,0.05395,0.19917,0.23659,0.13438,0.05645,2.41049,3.5528,3.59486,2.33158,0.00163036,0.00163036,0.00163036
4,149.883,2.44149,3.44725,3.24421,2.59406,0.2682,0.32854,0.22207,0.10122,0.26564,0.3283,0.21373,0.11119,2.0178,2.96556,2.5653,2.02985,0.00161749,0.00161749,0.00161749
5,186.77,2.27442,3.26564,3.07331,2.38397,0.36321,0.26686,0.20605,0.09608,0.34952,0.28095,0.21324,0.10469,2.02819,2.87251,2.68886,2.01675,0.00160099,0.00160099,0.00160099
6,223.231,2.14574,3.14517,2.95121,2.30075,0.4931,0.3531,0.32596,0.17946,0.51035,0.33711,0.3353,0.18762,1.82312,2.62189,3.04485,1.84996,0.00158448,0.00158448,0.00158448
7,260.773,2.06171,3.02925,2.83333,2.17161,0.41128,0.29854,0.2425,0.13234,0.41321,0.30206,0.24695,0.13598,1.82693,2.88878,2.82092,1.86844,0.00156798,0.00156798,0.00156798
8,298.105,1.99205,2.8702,2.72012,2.11958,0.5301,0.36693,0.35814,0.20805,0.54497,0.38346,0.37016,0.22267,1.64937,2.47192,2.1947,1.74849,0.00155148,0.00155148,0.00155148
9,334.366,1.91205,2.76576,2.58071,2.02973,0.41389,0.35005,0.33514,0.19563,0.42865,0.36021,0.35076,0.20642,1.61509,2.46863,2.24861,1.69209,0.00153497,0.00153497,0.00153497
10,370.427,1.86462,2.72941,2.51533,1.98038,0.61126,0.35155,0.35948,0.20385,0.58578,0.3751,0.3648,0.21482,1.59767,2.34661,2.33639,1.66449,0.00151847,0.00151847,0.00151847
11,406.467,1.84323,2.66233,2.44391,1.95259,0.43988,0.38028,0.38846,0.22979,0.43575,0.38459,0.39583,0.23262,1.59056,2.38619,2.1496,1.64306,0.00150197,0.00150197,0.00150197
12,443.309,1.77711,2.60333,2.3749,1.90036,0.5389,0.40719,0.41894,0.25027,0.54143,0.41808,0.42796,0.25933,1.53182,2.19336,1.93997,1.59206,0.00148546,0.00148546,0.00148546
13,480.511,1.76609,2.54103,2.34104,1.88003,0.64266,0.43465,0.48416,0.30402,0.65135,0.44226,0.5009,0.32331,1.46102,2.08069,1.83424,1.57995,0.00146896,0.00146896,0.00146896
14,517.233,1.73032,2.54562,2.2928,1.85651,0.64188,0.44171,0.51565,0.3135,0.64212,0.44679,0.52785,0.31806,1.45012,2.19067,1.74459,1.52173,0.00145246,0.00145246,0.00145246
15,553.747,1.68053,2.47017,2.18034,1.79617,0.72773,0.40542,0.48758,0.30669,0.74007,0.41227,0.49949,0.30628,1.42457,2.10821,1.85488,1.51559,0.00143595,0.00143595,0.00143595
16,590.336,1.6592,2.41188,2.15366,1.78989,0.68968,0.39509,0.51026,0.32756,0.54176,0.49552,0.51597,0.33524,1.36077,2.10629,1.75381,1.48563,0.00141945,0.00141945,0.00141945
17,627.601,1.64078,2.36457,2.1261,1.76312,0.60314,0.4544,0.49234,0.33012,0.62706,0.432,0.50189,0.33358,1.33973,2.17774,1.86254,1.4703,0.00140295,0.00140295,0.00140295
18,664.451,1.59476,2.32428,2.03433,1.71936,0.58833,0.39756,0.45014,0.27962,0.5571,0.4118,0.45645,0.27782,1.42664,2.19732,1.90225,1.51338,0.00138644,0.00138644,0.00138644
19,701.831,1.58053,2.29497,2.03406,1.73676,0.64838,0.5083,0.56168,0.34817,0.65512,0.51316,0.56921,0.35402,1.38635,2.09088,1.65949,1.5017,0.00136994,0.00136994,0.00136994
20,739.203,1.5439,2.26547,1.98525,1.68035,0.67348,0.46271,0.53599,0.34603,0.67475,0.46702,0.5464,0.34009,1.32368,2.07197,1.65865,1.45967,0.00135344,0.00135344,0.00135344
21,776.122,1.55229,2.24521,1.95954,1.70158,0.69772,0.47086,0.56503,0.36622,0.71167,0.48663,0.57833,0.37113,1.35963,2.04208,1.61502,1.47283,0.00133693,0.00133693,0.00133693
22,813.518,1.51747,2.22005,1.92228,1.66898,0.70889,0.49003,0.58434,0.38988,0.72012,0.50018,0.59811,0.40187,1.33237,1.95966,1.57865,1.47115,0.00132043,0.00132043,0.00132043
23,850.211,1.5108,2.16171,1.88756,1.65649,0.66398,0.51113,0.58218,0.38501,0.67696,0.52382,0.5991,0.39294,1.31743,1.94852,1.54105,1.46178,0.00130393,0.00130393,0.00130393
24,886.912,1.49776,2.14971,1.8808,1.65433,0.74484,0.50927,0.61669,0.40382,0.72326,0.51681,0.62417,0.39125,1.32233,1.98452,1.63324,1.4445,0.00128742,0.00128742,0.00128742
25,923.64,1.43768,2.07602,1.81763,1.59865,0.74273,0.49494,0.61132,0.41269,0.74622,0.49748,0.62103,0.41969,1.22511,1.8866,1.53471,1.41259,0.00127092,0.00127092,0.00127092
26,960.483,1.42187,2.07427,1.75771,1.59077,0.67661,0.55453,0.62095,0.42349,0.69059,0.56646,0.63537,0.42068,1.24973,1.86556,1.4985,1.40656,0.00125442,0.00125442,0.00125442
27,997.622,1.42486,2.09936,1.78576,1.59157,0.65607,0.43524,0.53063,0.34289,0.65498,0.43702,0.53637,0.32967,1.33762,2.00177,1.76635,1.43831,0.00123791,0.00123791,0.00123791
