epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.0457,3.55923,5.55279,4.54813,3.9339,0.57155,0.03046,0.0289,0.00677,0.57752,0.03299,0.03258,0.00998,3.08221,4.44889,3.62839,3.00928,0.000551962,0.000551962,0.000551962
2,120.565,2.99882,4.07263,3.76326,3.22784,0.0935,0.12252,0.04323,0.01237,0.1077,0.14408,0.04979,0.01798,2.90782,3.94595,4.38823,2.69256,0.00109666,0.00109666,0.00109666
3,177.814,2.71804,3.78198,3.4228,2.88529,0.13995,0.12607,0.06034,0.02861,0.14746,0.13646,0.06391,0.02924,2.53057,3.71655,3.44902,2.46036,0.00163036,0.00163036,0.00163036
4,234.853,2.56138,3.59207,3.22415,2.6513,0.39095,0.19337,0.20061,0.09442,0.38894,0.1916,0.20401,0.10958,2.14574,3.01864,3.07661,2.15378,0.00161749,0.00161749,0.00161749
5,291.805,2.42397,3.43895,3.06296,2.46882,0.50324,0.2627,0.26507,0.11353,0.51887,0.26878,0.27435,0.12822,2.09718,3.10115,2.51922,2.04622,0.00160099,0.00160099,0.00160099
6,348.732,2.31291,3.28403,2.94028,2.37806,0.42815,0.31391,0.28913,0.14498,0.43237,0.31568,0.29351,0.1598,1.94689,2.74494,2.43822,1.94415,0.00158448,0.00158448,0.00158448
7,404.728,2.21844,3.2056,2.84045,2.2561,0.40082,0.2703,0.23609,0.12999,0.40985,0.27861,0.24478,0.13901,1.92801,2.82763,2.61994,1.93825,0.00156798,0.00156798,0.00156798
8,460.283,2.1576,3.05645,2.74917,2.21444,0.48016,0.30981,0.349,0.18433,0.46367,0.31742,0.35555,0.20459,1.80852,2.7758,2.15916,1.80396,0.00155148,0.00155148,0.00155148
9,516.533,2.07078,2.94689,2.64041,2.13298,0.45659,0.37754,0.37288,0.21642,0.47621,0.38877,0.38481,0.23181,1.63947,2.53319,2.08565,1.68217,0.00153497,0.00153497,0.00153497
10,573.073,2.01789,2.92355,2.58744,2.07902,0.46805,0.30859,0.30755,0.17461,0.4893,0.30828,0.31596,0.17674,1.69331,2.6007,2.22145,1.72757,0.00151847,0.00151847,0.00151847
11,629.051,1.96438,2.8516,2.51303,2.03843,0.43731,0.32149,0.35661,0.20865,0.42855,0.32403,0.36673,0.20888,1.62868,2.40162,2.16257,1.65642,0.00150197,0.00150197,0.00150197
