epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0439,3.54586,5.65757,4.54479,3.88864,0.1519,0.04416,0.03386,0.01195,0.13422,0.03908,0.03558,0.01389,3.07664,4.92558,5.82237,3.04409,0.000551962,0.000551962,0.000551962
2,111.247,2.83566,4.08332,3.83382,3.14628,0.1877,0.1042,0.04712,0.01795,0.21016,0.11814,0.05252,0.02308,2.50175,3.49953,3.78252,2.4761,0.00109666,0.00109666,0.00109666
3,164.198,2.57788,3.79504,3.55892,2.84415,0.22847,0.27331,0.11793,0.05524,0.22845,0.286,0.12478,0.05983,2.35669,3.72265,3.64091,2.33383,0.00163036,0.00163036,0.00163036
4,216.964,2.42295,3.58903,3.31935,2.59172,0.25478,0.28749,0.1861,0.09044,0.25189,0.28749,0.18763,0.09329,2.15826,3.08755,2.75028,2.11741,0.00161749,0.00161749,0.00161749
5,269.751,2.27619,3.42003,3.10618,2.39027,0.47909,0.33123,0.26522,0.13584,0.48805,0.33098,0.26976,0.13823,1.96654,2.91811,2.62724,1.92556,0.00160099,0.00160099,0.00160099
6,322.779,2.13675,3.25949,2.93517,2.2842,0.41141,0.40774,0.31572,0.17328,0.38616,0.42272,0.3166,0.17891,1.76026,2.71642,2.90838,1.80045,0.00158448,0.00158448,0.00158448
7,375.605,2.03959,3.16429,2.79636,2.16278,0.58078,0.33526,0.3323,0.19257,0.58,0.3411,0.33499,0.19838,1.65874,2.69005,2.30015,1.73676,0.00156798,0.00156798,0.00156798
8,428.758,1.95618,2.98002,2.64754,2.08961,0.38477,0.31148,0.26033,0.15925,0.39722,0.32239,0.26868,0.159,1.65594,2.70942,2.32245,1.74783,0.00155148,0.00155148,0.00155148
9,481.262,1.88615,2.86807,2.55611,2.00963,0.49446,0.35956,0.35021,0.20224,0.51981,0.34002,0.36007,0.22648,1.63419,2.45551,2.14021,1.67683,0.00153497,0.00153497,0.00153497
10,534.102,1.84138,2.86141,2.47379,1.95686,0.63327,0.354,0.39709,0.24073,0.62697,0.36583,0.39662,0.24265,1.51281,2.48575,2.09424,1.60712,0.00151847,0.00151847,0.00151847
