epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.4311,3.55868,5.42322,4.51365,3.95036,0.11441,0.03046,0.03049,0.0077,0.12473,0.03553,0.03822,0.013,3.01012,4.26991,5.27867,3.04144,0.000551962,0.000551962,0.000551962
2,150.167,2.92984,4.06495,3.8403,3.19258,0.5358,0.13706,0.0348,0.01159,0.52069,0.10406,0.0163,0.00363,2.77777,5.37957,9.89515,2.6396,0.00109666,0.00109666,0.00109666
3,222.073,2.61418,3.76542,3.54754,2.85874,0.17077,0.09999,0.07522,0.0298,0.17077,0.09999,0.07985,0.03457,2.36087,3.51139,3.61251,2.33539,0.00163036,0.00163036,0.00163036
4,294.075,2.44906,3.57149,3.30856,2.60976,0.27907,0.24658,0.18291,0.08913,0.28766,0.2636,0.18412,0.0866,2.09949,3.26016,2.93196,2.07534,0.00161749,0.00161749,0.00161749
5,366.633,2.27783,3.38748,3.07283,2.39394,0.46067,0.2457,0.27079,0.13417,0.47876,0.2457,0.27876,0.14383,1.89785,2.90221,2.41565,1.94195,0.00160099,0.00160099,0.00160099
6,438.926,2.13967,3.2405,2.92746,2.28631,0.384,0.36186,0.27723,0.11467,0.38009,0.35654,0.27443,0.13579,2.07166,2.89327,2.48872,1.97216,0.00158448,0.00158448,0.00158448
7,511.079,2.04681,3.15599,2.78663,2.14726,0.43051,0.35142,0.31951,0.17788,0.44053,0.35928,0.32766,0.17522,1.73672,2.81805,2.22617,1.77077,0.00156798,0.00156798,0.00156798
8,583.586,1.96185,2.99516,2.66754,2.07571,0.47045,0.31742,0.32313,0.18523,0.46474,0.34841,0.33242,0.18221,1.72596,2.65259,2.16944,1.75389,0.00155148,0.00155148,0.00155148
9,655.901,1.903,2.87647,2.57026,2.00741,0.60643,0.38039,0.41276,0.25127,0.62119,0.38977,0.42223,0.26484,1.55384,2.42798,2.058,1.61154,0.00153497,0.00153497,0.00153497
10,728.407,1.83996,2.84707,2.50957,1.955,0.48906,0.31371,0.35686,0.20829,0.46085,0.34659,0.36291,0.21749,1.5948,2.557,2.21198,1.64465,0.00151847,0.00151847,0.00151847
11,800.244,1.81663,2.77484,2.45399,1.92454,0.52492,0.33898,0.40195,0.22767,0.47313,0.39224,0.41495,0.23671,1.53991,2.38094,2.21699,1.60897,0.00150197,0.00150197,0.00150197
12,872.173,1.7583,2.69788,2.36363,1.87478,0.58887,0.42245,0.42625,0.25841,0.56727,0.42322,0.42555,0.25739,1.48675,2.35513,1.92062,1.57579,0.00148546,0.00148546,0.00148546
